Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP (current US$),NY.GDP.MKTP.CD,"Macao SAR China",MAC,55082293844.1008,25343525935.8358,30969334705.0515,24999113475.8368,45803067940.4072
GDP (current US$),NY.GDP.MKTP.CD,Madagascar,MDG,14104664678.5063,13051441203.9474,14554754116.5427,15134700203.0497,15790113246.7478
GDP (current US$),NY.GDP.MKTP.CD,Malawi,MWI,11051865579.8121,11769313597.8545,12378129750.9872,12429060150.742,12712150082.0792
GDP (current US$),NY.GDP.MKTP.CD,Malaysia,MYS,365177721021.516,337456163961.211,373784823672.946,407605841348.235,399705169318.477
GDP (current US$),NY.GDP.MKTP.CD,Maldives,MDV,5726094799.37709,3712604583.36665,5252457369.55218,6177118113.94637,6590894301.9579
GDP (current US$),NY.GDP.MKTP.CD,Mali,MLI,17280250810.0321,17465392764.3706,19309463508.0377,18780322203.7584,20661794596.0873
GDP (current US$),NY.GDP.MKTP.CD,Malta,MLT,16337793530.7788,16385919535.6742,19718565605.433,19209979975.2323,22328640241.5553
GDP (current US$),NY.GDP.MKTP.CD,Marshall Islands,MHL,232900000,241800000,258900000,253400000,259300000
GDP (current US$),NY.GDP.MKTP.CD,Mauritania,MRT,7894764885.82312,8260752385.23089,9222536364.01272,9557966698.25369,10651709411.4594
GDP (current US$),NY.GDP.MKTP.CD,Mauritius,MUS,14436346979.6355,11408106446.3144,11484348857.8529,12927979286.0453,14644524819.0054
GDP (current US$),NY.GDP.MKTP.CD,Mexico,MEX,1304106203694.81,1121064767261.88,1316569466932.59,1464312692331.58,1789114434843.46
GDP (current US$),NY.GDP.MKTP.CD,"Micronesia Fed. Sts.",FSM,394000000,372000000,390000000,430000000,460000000
GDP (current US$),NY.GDP.MKTP.CD,Moldova,MDA,11736797054.6965,11530746234.4492,13691869264.0794,14510490660.2516,16539436547.295
GDP (current US$),NY.GDP.MKTP.CD,Monaco,MCO,7383496254.23721,6730736282.78961,8623242743.29564,8800430486.17137,9995350547.12166
GDP (current US$),NY.GDP.MKTP.CD,Mongolia,MNG,14206359017.5143,13312981429.0891,15286441737.6686,17146471713.748,20325121393.9074
GDP (current US$),NY.GDP.MKTP.CD,Montenegro,MNE,5542054181.12616,4769996866.00758,5861427505.12493,6229801580.79157,7530593375.22034
GDP (current US$),NY.GDP.MKTP.CD,Morocco,MAR,128920266409.458,121353645057.144,142022058447.231,130951926351.241,144417103249.646
GDP (current US$),NY.GDP.MKTP.CD,Mozambique,MOZ,15512759046.672,14235420174.1884,16168055475.4449,18883528581.3734,20954220983.5473
GDP (current US$),NY.GDP.MKTP.CD,Myanmar,MMR,75065106227.6892,79006113643.1906,66345291160.1683,62253049891.6449,66757619000
GDP (current US$),NY.GDP.MKTP.CD,Namibia,NAM,12541928303.48,10583748541.5258,12402486183.6396,12567271004.6761,12351025066.9131
GDP (current US$),NY.GDP.MKTP.CD,Nauru,NRU,124871111.377973,124530027.301054,175513984.500084,156803087.302496,154170289.321861
GDP (current US$),NY.GDP.MKTP.CD,Nepal,NPL,34186180699.0255,33433659301.2466,36924841394.2605,41182939600.67,40908073366.8455
